Country ,Total cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Deaths/1M pop,Total Tests,Test/1M Pop,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Preparedness,INDEX
World,"2,073,394","134,007","508,861","1,430,526","51,134",17.2,,,,,
USA,"641,299","28,383","47,977","564,939","13,477",86,"3,220,623","9,730",14.6,100,85.4
Spain,"177,644","18,708","70,853","88,083","7,371",400,"600,000","12,833",9.9,100,90.1
Italy,"165,155","21,645","38,092","105,418","3,079",358,"1,117,404","18,481",9.5,73.33,63.83
France,"147,863","17,167","30,955","99,741","6,457",263,"333,807","5,114",10.6,80,69.4
Germany,"133,456","3,592","72,600","57,264","4,288",43,"1,728,357","20,629",12.1,100,87.9
UK,"98,476","12,868",N/A,"85,264","1,559",190,"398,916","5,876",10.9,100,89.1
China,"82,295","3,342","77,816","1,137",113,2,,,17,100,83
Iran,"76,389","4,777","49,933","21,679","3,643",57,"299,204","3,562",14.8,81.67,66.87
Turkey,"69,392","1,518","5,674","62,200","1,820",18,"477,716","5,664",16.1,80,63.9
Belgium,"33,573","4,440","7,107","22,026","1,204",383,"128,132","11,056",11.4,46.67,35.27
Brazil,"28,320","1,736","14,026","12,558",296,8,"62,985",296,16.6,100,83.4
Canada,"28,205","1,006","8,937","18,262",557,27,"462,353","12,250",9.8,100,90.2
Netherlands,"28,153","3,134",250,"24,769","1,279",183,"140,845","8,220",11.2,90,78.8
Switzerland,"26,336","1,239","15,400","9,697",386,143,"199,000","22,993",8.6,100,91.4
Russia,"24,490",198,"1,986","22,306",8,1,"1,517,992","10,402",25.4,100,74.6
Portugal,"18,091",599,383,"17,109",208,59,"191,680","18,798",11.1,100,88.9
Austria,"14,336",393,"8,098","5,845",232,44,"156,801","17,410",11.4,66.67,55.27
Ireland,"12,547",444,77,"12,026",158,90,"90,646","18,358",10.3,80,69.7
Israel,"12,501",130,"2,563","9,808",180,15,"117,339","13,557",9.6,100,90.4
India,"12,322",405,"1,432","10,485",,0.3,"244,893",177,23.3,100,76.7
Sweden,"11,927","1,203",381,"10,343",954,119,"74,600","7,387",9.1,83.33,74.23
Peru,"11,475",254,"3,108","8,113",146,8,"109,385","3,318",12.6,35,22.4
S. Korea,"10,591",225,"7,616","2,750",55,4,"534,552","10,426",7.8,100,92.2
Chile,"8,273",94,"2,937","5,242",389,5,"91,873","4,806",12.4,90,77.6
Japan,"8,100",146,853,"7,101",152,1,"89,551",708,8.4,100,91.6
Ecuador,"7,858",388,780,"6,690",135,22,"26,093","1,479",13,53.33,40.33
Poland,"7,582",286,668,"6,628",160,8,"156,493","4,135",18.7,81.67,62.97
Romania,"7,216",372,"1,217","5,627",245,19,"74,827","3,890",21.4,81.67,60.27
Norway,"6,740",150,32,"6,558",64,28,"130,216","24,020",9.2,100,90.8
Denmark,"6,681",309,"2,748","3,624",89,53,"77,712","13,417",11.3,100,88.7
Australia,"6,447",63,"3,686","2,698",76,2,"371,377","14,564",9.1,100,90.9
Pakistan,"6,383",111,"1,446","4,826",46,0.5,"73,439",332,24.7,16.67,-8.03
Czechia,"6,216",166,819,"5,231",84,16,"137,672","12,856",15,91.67,76.67
Saudi Arabia,"5,862",79,931,"4,852",71,2,"150,000","4,309",16.4,100,83.6
Philippines,"5,453",349,353,"4,751",1,3,"45,486",415,26.8,90,63.2
Mexico,"5,399",406,"2,125","2,868",207,3,"40,091",311,15.7,100,84.3
UAE,"5,365",33,"1,034","4,298",1,3,"767,000","77,550",16.8,100,83.2
Indonesia,"5,136",469,446,"4,221",,2,"36,000",132,26.4,100,73.6
Malaysia,"5,072",83,"2,647","2,342",56,3,"87,183","2,694",17.2,100,82.8
Serbia,"4,873",99,400,"4,374",128,11,"26,278","3,008",19.1,63.33,44.23
Ukraine,"3,764",108,143,"3,513",45,2,"39,084",894,24.7,55,30.3
Belarus,"3,728",36,203,"3,489",68,4,"76,198","8,064",23.7,75,51.3
Qatar,"3,711",7,406,"3,298",37,2,"54,484","18,911",15.3,100,84.7
Singapore,"3,699",10,652,"3,037",29,2,"72,680","12,423",9.3,100,90.7
Dominican Republic,"3,614",189,208,"3,217",143,17,"9,275",855,19,55,36
Panama,"3,574",95,72,"3,407",106,22,"16,053","3,720",13,60,47
Luxembourg,"3,373",69,526,"2,778",33,110,"30,723","49,080",10,90,80
Finland,"3,237",72,300,"2,865",75,13,"48,828","8,813",10.2,90,79.8
Colombia,"2,979",127,354,"2,498",106,2,"45,423",893,20.6,100,79.4
Thailand,"2,643",43,"1,497","1,103",61,0.6,"100,498","1,440",19.2,100,80.8
South Africa,"2,506",34,410,"2,062",7,0.6,"90,515","1,526",23.8,100,76.2
Egypt,"2,505",183,589,"1,733",,2,"25,000",244,25.3,100,74.7
Argentina,"2,443",111,596,"1,736",117,2,"24,374",539,20.6,55,34.4
Greece,"2,192",102,269,"1,821",72,10,"50,771","4,871",No data,No data,#VALUE!
Algeria,"2,160",336,708,"1,116",60,8,"3,359",77,21.1,80,58.9
Moldova,"2,049",46,171,"1,832",80,11,"6,271","1,555",No data,No data,#VALUE!
Morocco,"2,024",127,229,"1,668",1,3,"10,392",282,24.4,100,75.6
Croatia,"1,741",33,473,"1,235",31,8,"19,256","4,691",22.9,90,67.1
Iceland,"1,727",8,"1,077",642,8,23,"37,386","109,558",13.4,100,86.6
Bahrain,"1,671",7,663,"1,001",3,4,"72,647","42,694",11.3,80,68.7
Hungary,"1,579",134,192,"1,253",58,14,"37,326","3,864",23,92,69
Iraq,"1,415",79,812,524,,2,"46,135","1,147",21.3,90,68.7
Kuwait,"1,405",3,206,"1,196",31,0.7,,,17.4,100,82.6
Estonia,"1,400",35,117,"1,248",10,26,"33,967","25,606",17,92,75
New Zealand,"1,386",9,728,649,3,2,"66,499","13,790",10.1,100,89.9
Uzbekistan,"1,302",4,107,"1,191",8,0.1,"70,000","2,091",No data,No data,#VALUE!
Kazakhstan,"1,295",16,240,"1,039",20,0.9,"81,359","4,333",No data,No data,#VALUE!
Azerbaijan,"1,253",13,404,836,24,1,"75,397","7,436",No data,No data,#VALUE!
Slovenia,"1,248",61,165,"1,022",34,29,"37,114","17,852",12.7,75,62.3
Bangladesh,"1,231",50,49,"1,132",1,0.3,"14,868",90,21.6,45,23.4
Armenia,"1,111",17,297,797,30,6,"9,095","3,069",22.3,100,77.7
Bosnia and Herzegovina,"1,110",41,253,816,4,12,"13,339","4,066",17.8,63,45.2
Lithuania,"1,091",30,138,923,14,11,"44,677","16,412",20.7,63,42.3
